Erick_Liss,@Beatriz_bih3 batinha da nike
cherylwillie,@cranstonl1972 @bolekaja1001 @Calybancalyban @Drunkenlawyer @dianavotes @angela0917 @margaritamimi1 @Mas5665 @aeonimine @pamwallace @network_gal @bubazeek @Lauremari2 @Bab_Blue7 @Blessed63138165 @Shellaine16 @chivers_jenny @JeffHarperArt @moveover4me2 @89wunderlust @JoeMomma833 @kpu6600 @ihatepos45 @Newyorker2212 @danawangwitit31 @bottyisyou @JefferinoBlue @redkorpusl1 @Rigil53652553 @rickcar36117519 @debiowens @tymanmayo @19brenda61 @fprefect6 @Betterw05759703 @hilted30 @mark777day @Forest_Lawn1937 @immigrantdfndr @Marjori87941817 @realeftypickit @judithravestein @Suzettemorgand1 @nipperdawg @PWM62 @yeahunoeme @para82nd_1 LMAO😂😂😂😂😂😂!! You know he meant Nike’s! Stop playing!😂😂😂😂😂😂😂
rob__ws,@Nike @AnnPicknie How did we get to people not believing corp. sales reports? Suppose Apple & Amazon aren't $T companies either...
milisasnider,@Poshmarkapp Check out what I just added to my closet on Poshmark: Nike red racerback workout bra..  https://poshmark.com/listing/5b95b2be1b3294a553114755?utm_campaign=referral_code%3DLADYVALIANT&utm_content=feature%3Dsh_li_cl_and%26rfuid%3D565348a581aedd551f36dea0%26ext_trk%3Dbranch&utm_source=tw_sh … via @poshmarkapp #shopmycloset
ArtofDemo,@freedom_moates Nike hates a lot of people.
juliacforbes,"@mmpadellan Unfortunately, not surprising when Pennsylvania is involved. I’ll bet the Liberty Bell and a lb of scrapple the owner has Nikes and spent the afternoon watching football."
jisler,@yahoolifestyle A Louisiana mayor banned city booster clubs from buying Nike products  https://www.yahoo.com/lifestyle/louisiana-mayor-banned-recreation-centers-buying-nike-products-192000629.html?soc_src=social-sh&soc_trk=tw … via @YahooLifestyle
dgonzo58709382,"@realDonaldTrump Well I must say, Nike is only concerned with selling more of their products. They have successfully created a split and both sides are buying in droves. A+ marketing"
suz4chickfila,Wife of 'American Sniper' Chris Kyle Blasts Colin Kaepernick and Nike in Scathing Open Letter  https://www.12up.com/posts/6165258-wife-of-american-sniper-chris-kyle-blasts-colin-kaepernick-and-nike-in-scathing-open-letter?utm_source=twitter.com&utm_medium=share … via @12upSport
weegee56,@SilenceDOGood47 Nikes are the best. #nike
eimzcaomhanach,"Nike’s sales have doubled in comparison to the same stage in 2017Louder, so the Trump supporters in the back can hear“What was Nike thinking?”#NikeBoycott http://www.ladbible.com/news/sport-nike-sales-increase-by-31-following-colin-kaepernick-ad-campaign-20180908 …"
